"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10636","Client Po Login ADIDAS ORIGINAL","chromebrowser","2026-06-01","passed","2026-06-01","","ClientAppPO.spec.js","",""
"","4881","@web Calender ValidationPO","chromebrowser","2026-06-01","passed","2026-06-01","","ClientAppPO.spec.js","",""
"","8988","Client Po Login ZARA COAT 3","chromebrowser","2026-06-01","passed","2026-06-01","","ClientAppPO.spec.js","",""
"","7947","Client Po Login iphone 13 pro","chromebrowser","2026-06-01","passed","2026-06-01","","ClientAppPO.spec.js","",""
